video,scene,lighting,camera_angle,distance,occlusion,source_dataset,note
livingroom_adl_001_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_002_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_003_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_004_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_005_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_006_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_007_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_008_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_009_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_010_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_011_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_012_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_013_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_014_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_015_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_016_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_017_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_018_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_019_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_020_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_021_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_022_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_023_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_024_20260827.mp4,livingroom,unknown,side_parallel_floor,unknown,unknown,URFD,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_025_20260827.mp4,livingroom,unknown,unknown,unknown,unknown,Le2i,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_026_20260827.mp4,livingroom,unknown,unknown,unknown,unknown,Le2i,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_027_20260827.mp4,livingroom,unknown,unknown,unknown,unknown,Le2i,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_028_20260827.mp4,livingroom,unknown,unknown,unknown,unknown,Le2i,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
livingroom_adl_029_20260827.mp4,livingroom,unknown,unknown,unknown,unknown,Le2i,distance not provided by official files; lighting/occlusion left unknown unless the source labeled them
